K_BREV_T;SPRAK_2_TEGN
PE_IY_05_008;EN
PE_IY_05_008;NB
PE_IY_05_021;EN
PE_IY_05_021;NB
PE_IY_05_022;EN
PE_IY_05_022;NB
PE_IY_05_023;EN
PE_IY_05_023;NB
PE_IY_05_024;EN
PE_IY_05_024;NB
PE_IY_05_025;EN
PE_IY_05_025;NB
PE_IY_05_026;EN
PE_IY_05_026;NB
PE_IY_05_027;EN
PE_IY_05_027;NB
PE_IY_05_041;EN
PE_IY_05_041;NB
PE_IY_05_101;EN
PE_IY_05_101;NB
PE_IY_05_102;EN
PE_IY_05_102;NB
PE_IY_05_104;NB
PE_IY_05_105;NB
PE_IY_05_111;NB
PE_IY_05_200;EN
PE_IY_05_200;NB
PE_IY_05_201;EN
PE_IY_05_201;NB
PE_IY_05_300;NB
PE_IY_05_302;NB
PE_IY_05_303;NB
PE_IY_05_304;NB
PE_IY_05_305;NB
PE_IY_05_306;NB
PE_IY_05_401;EN
PE_IY_05_401;NB
PE_IY_05_410;NB
PE_IY_05_411;NB
PE_OK_06_102;NB
PE_OK_06_100;NB
PE_OK_06_101;NB
PE_UP_04_001;EN
PE_UP_04_001;NB
PE_UP_04_001;NN
PE_UP_04_010;EN
PE_UP_04_010;NB
PE_UP_04_010;NN
PE_UP_04_020;EN
PE_UP_04_020;NB
PE_UP_04_020;NN
PE_UP_04_022;NB
PE_UP_04_023;NB
PE_UP_04_024;NB
PE_UP_04_025;NB
PE_UP_04_026;NB
PE_UP_04_027;NB
PE_UP_04_028;NB
PE_UP_04_029;NB
PE_UP_04_030;NB
PE_IY_03_176;NB
PE_IY_03_177;NB
PE_IY_03_178;NB
PE_IY_03_179;NB
PE_AF_03_101;NB
PE_AF_04_108;NB
PE_AF_04_110;NB
PE_AF_04_109;NB
PE_AF_04_103;NB
PE_AF_04_104;NB
PE_AF_04_105;NB
PE_AF_04_106;NB
PE_UP_02_002;NB
PE_UP_04_021;NB
PE_AP_01_011;NB
PE_AP_01_011;EN
PE_AP_01_015;NB
PE_AP_01_015;EN
PE_AP_01_019;NB
PE_AP_01_019;EN
PE_IY_05_502;NB
PE_UP_02_002;NB
PE_AP_04_210;NB
PE_IY_05_241;NB
PE_IY_05_242;NB
PE_AP_04_221;NB
PE_AP_04_202;NB
PE_AP_04_211;NB
PE_AP_04_203;NB
PE_AP_04_212;NB
PE_IY_02_301;NB
PE_IY_02_301;NN
PE_AP_04_203;EN
PE_AP_04_210;EN
PE_AP_04_211;EN
PE_AP_04_212;EN
PE_AP_04_221;EN
PE_AP_04_213;EN
PE_AP_04_220;NB
PE_AP_04_222;NB
PE_AP_04_223;NB
PE_AP_04_224;NB
PE_AP_04_225;NB
PE_AF_04_111;NB
PE_AF_04_112;NB
PE_AP_01_007;NB
PE_BA_01_100;NB
PE_BA_01_101;NB
PE_BA_01_102;NB
PE_BA_01_103;NB
PE_BA_01_104;NB
PE_BA_01_105;NB
PE_BA_01_106;NB
PE_BA_01_107;NB
PE_GP_01_008;NB
PE_GP_01_009;NB
PE_AP_04_220;NN
PE_AP_04_220;EN
PE_AP_04_220;FR
PE_FT_02_001;FR
PE_BP_02_001;FR
PE_GP_02_001;FR
PE_BA_01_108;NB
PE_AP_02_002;NN
PE_AP_02_002;SE
PE_IY_02_101;EN
PE_AP_02_003;EN
PE_AP_02_003;NN
PE_AP_02_003;FR
PE_AP_02_003;SE
PE_AP_01_006;SE
PE_AP_01_007;EN
PE_AP_01_007;FR
PE_AP_01_007;SE
PE_IY_05_104;EN
PE_IY_05_105;EN
PE_AP_04_202;EN
PE_AP_04_223;EN
PE_AP_04_224;EN
PE_AP_04_225;EN
PE_AF_04_112;EN
PE_BA_01_100;EN
PE_BA_01_101;EN
PE_BA_01_102;EN
PE_BA_01_103;EN
PE_BA_01_104;EN
PE_BA_01_105;EN
PE_BA_01_106;EN
PE_BA_01_107;EN
PE_AF_04_111;EN
PE_BA_01_200;NB
PE_IY_06_103;NB
PE_AP_04_214;NB
PE_AP_04_215;NB
PE_AP_04_216;NB
PE_FT_01_002;NB
PE_FT_01_003;NB
PE_FT_01_006;NB
PE_FT_01_007;NB
PE_AP_04_922;NB
H001;NB
H002;NB
P1000;NB
P10000;NB
P11000;NB
P12000;NB
P13000;NB
P2000_AT;NB
P2000_BE;NB
P2000_BG;NB
P2000_CH;NB
P2000_CY;NB
P2000_CZ;NB
P2000_DE;NB
P2000_DK;NB
P2000_EE;NB
P2000_ES;NB
P2000_FI;NB
P2000_FR;NB
P2000_GR;NB
P2000_HU;NB
P2000_IE;NB
P2000_IS;NB
P2000_IT;NB
P2000_LI;NB
P2000_LT;NB
P2000_LU;NB
P2000_LV;NB
P2000_MT;NB
P2000_NL;NB
P2000_PL;NB
P2000_PT;NB
P2000_RO;NB
P2000_SE;NB
P2000_SI;NB
P2000_SK;NB
P2000_UK;NB
P2100_AT;NB
P2100_BE;NB
P2100_BG;NB
P2100_CH;NB
P2100_CY;NB
P2100_CZ;NB
P2100_DE;NB
P2100_DK;NB
P2100_EE;NB
P2100_ES;NB
P2100_FI;NB
P2100_FR;NB
P2100_GR;NB
P2100_HU;NB
P2100_IE;NB
P2100_IS;NB
P2100_IT;NB
P2100_LI;NB
P2100_LT;NB
P2100_LU;NB
P2100_LV;NB
P2100_MT;NB
P2100_NL;NB
P2100_PL;NB
P2100_PT;NB
P2100_RO;NB
P2100_SE;NB
P2100_SI;NB
P2100_SK;NB
P2100_UK;NB
P2200_AT;NB
P2200_BE;NB
P2200_BG;NB
P2200_CH;NB
P2200_CY;NB
P2200_CZ;NB
P2200_DE;NB
P2200_DK;NB
P2200_EE;NB
P2200_ES;NB
P2200_FI;NB
P2200_FR;NB
P2200_GR;NB
P2200_HU;NB
P2200_IE;NB
P2200_IS;NB
P2200_IT;NB
P2200_LI;NB
P2200_LT;NB
P2200_LU;NB
P2200_LV;NB
P2200_MT;NB
P2200_NL;NB
P2200_PL;NB
P2200_PT;NB
P2200_RO;NB
P2200_SE;NB
