K_BREV_T;K_SAK_T;GYLDIGMAPPING;BREVGYLDIG
PE_IY_03_048;AFP;1;1
PE_IY_03_048;AFP_PRIVAT;1;1
PE_IY_03_048;ALDER;1;1
PE_IY_03_048;BARNEP;1;1
PE_IY_03_048;FAM_PL;1;1
PE_IY_03_048;GAM_YRK;1;1
PE_IY_03_048;GENRL;1;1
PE_IY_03_048;GJENLEV;1;1
PE_IY_03_048;GRBL;1;1
PE_IY_03_048;KRIGSP;1;1
PE_IY_03_048;OMSORG;1;1
PE_IY_03_048;UFOREP;1;1
PE_IY_03_049;AFP;1;1
PE_IY_03_049;AFP_PRIVAT;1;1
PE_IY_03_049;ALDER;1;1
PE_IY_03_049;BARNEP;1;1
PE_IY_03_049;FAM_PL;1;1
PE_IY_03_049;GAM_YRK;1;1
PE_IY_03_049;GENRL;1;1
PE_IY_03_049;GJENLEV;1;1
PE_IY_03_049;GRBL;1;1
PE_IY_03_049;KRIGSP;1;1
PE_IY_03_049;OMSORG;1;1
PE_IY_03_049;UFOREP;1;1
PE_IY_03_051;AFP;1;1
PE_IY_03_051;AFP_PRIVAT;1;1
PE_IY_03_051;ALDER;1;1
PE_IY_03_051;BARNEP;1;1
PE_IY_03_051;FAM_PL;1;1
PE_IY_03_051;GAM_YRK;1;1
PE_IY_03_051;GENRL;1;1
PE_IY_03_051;GJENLEV;1;1
PE_IY_03_051;GRBL;1;1
PE_IY_03_051;KRIGSP;1;1
PE_IY_03_051;OMSORG;1;1
PE_IY_03_051;UFOREP;1;1
PE_IY_03_150;AFP;1;1
PE_IY_03_150;AFP_PRIVAT;1;1
PE_IY_03_150;ALDER;1;1
PE_IY_03_150;BARNEP;1;1
PE_IY_03_150;FAM_PL;1;1
PE_IY_03_150;GAM_YRK;1;1
PE_IY_03_150;GENRL;1;1
PE_IY_03_150;GJENLEV;1;1
PE_IY_03_150;GRBL;1;1
PE_IY_03_150;KRIGSP;1;1
PE_IY_03_150;OMSORG;1;1
PE_IY_03_150;UFOREP;1;1
PE_IY_03_151;AFP;1;1
PE_IY_03_151;AFP_PRIVAT;1;1
PE_IY_03_151;ALDER;1;1
PE_IY_03_151;BARNEP;1;1
PE_IY_03_151;FAM_PL;1;1
PE_IY_03_151;GAM_YRK;1;1
PE_IY_03_151;GENRL;1;1
PE_IY_03_151;GJENLEV;1;1
PE_IY_03_151;GRBL;1;1
PE_IY_03_151;KRIGSP;1;1
PE_IY_03_151;OMSORG;1;1
PE_IY_03_151;UFOREP;1;1
PE_IY_03_152;AFP;1;1
PE_IY_03_152;AFP_PRIVAT;1;1
PE_IY_03_152;ALDER;1;1
PE_IY_03_152;BARNEP;1;1
PE_IY_03_152;FAM_PL;1;1
PE_IY_03_152;GAM_YRK;1;1
PE_IY_03_152;GENRL;1;1
PE_IY_03_152;GJENLEV;1;1
PE_IY_03_152;GRBL;1;1
PE_IY_03_152;KRIGSP;1;1
PE_IY_03_152;OMSORG;1;1
PE_IY_03_152;UFOREP;1;1
PE_IY_03_153;AFP;1;1
PE_IY_03_153;AFP_PRIVAT;1;1
PE_IY_03_153;ALDER;1;1
PE_IY_03_153;BARNEP;1;1
PE_IY_03_153;FAM_PL;1;1
PE_IY_03_153;GAM_YRK;1;1
PE_IY_03_153;GENRL;1;1
PE_IY_03_153;GJENLEV;1;1
PE_IY_03_153;GRBL;1;1
PE_IY_03_153;KRIGSP;1;1
PE_IY_03_153;OMSORG;1;1
PE_IY_03_153;UFOREP;1;1
PE_IY_03_154;AFP;1;1
PE_IY_03_154;AFP_PRIVAT;1;1
PE_IY_03_154;ALDER;1;1
PE_IY_03_154;BARNEP;1;1
