K_BREV_T;K_SAK_T;GYLDIGMAPPING;BREVGYLDIG
PE_IY_06_510;GRBL;1;1
PE_IY_06_510;KRIGSP;1;1
PE_IY_06_510;OMSORG;1;1
PE_IY_06_510;UFOREP;1;1
PE_IY_06_511;AFP;1;1
PE_IY_06_511;AFP_PRIVAT;1;1
PE_IY_06_511;ALDER;1;1
PE_IY_06_511;BARNEP;1;1
PE_IY_06_511;FAM_PL;1;1
PE_IY_06_511;GAM_YRK;1;1
PE_IY_06_511;GENRL;1;1
PE_IY_06_511;GJENLEV;1;1
PE_IY_06_511;GRBL;1;1
PE_IY_06_511;KRIGSP;1;1
PE_IY_06_511;OMSORG;1;1
PE_IY_06_511;UFOREP;1;1
PE_OK_06_100;AFP;1;1
PE_OK_06_100;AFP_PRIVAT;1;1
PE_OK_06_100;ALDER;1;1
PE_OK_06_100;BARNEP;1;1
PE_OK_06_100;FAM_PL;1;1
PE_OK_06_100;GAM_YRK;1;1
PE_OK_06_100;GENRL;1;1
PE_OK_06_100;GJENLEV;1;1
PE_OK_06_100;GRBL;1;1
PE_OK_06_100;KRIGSP;1;1
PE_OK_06_100;OMSORG;1;1
PE_OK_06_100;UFOREP;1;1
PE_OK_06_101;AFP;1;1
PE_OK_06_101;AFP_PRIVAT;1;1
PE_OK_06_101;ALDER;1;1
PE_OK_06_101;BARNEP;1;1
PE_OK_06_101;FAM_PL;1;1
PE_OK_06_101;GAM_YRK;1;1
PE_OK_06_101;GENRL;1;1
PE_OK_06_101;GJENLEV;1;1
PE_OK_06_101;GRBL;1;1
PE_OK_06_101;KRIGSP;1;1
PE_OK_06_101;OMSORG;1;1
PE_OK_06_101;UFOREP;1;1
PE_OK_06_102;AFP;1;1
PE_OK_06_102;AFP_PRIVAT;1;1
PE_OK_06_102;ALDER;1;1
PE_OK_06_102;BARNEP;1;1
PE_OK_06_102;FAM_PL;1;1
PE_OK_06_102;GAM_YRK;1;1
PE_OK_06_102;GENRL;1;1
PE_OK_06_102;GJENLEV;1;1
PE_OK_06_102;GRBL;1;1
PE_OK_06_102;KRIGSP;1;1
PE_OK_06_102;OMSORG;1;1
PE_OK_06_102;UFOREP;1;1
PE_UP_02_002;UFOREP;1;0
PE_UP_04_001;UFOREP;1;1
PE_UP_04_010;UFOREP;1;1
PE_UP_04_020;UFOREP;1;1
PE_UP_04_021;UFOREP;1;1
PE_UP_04_022;UFOREP;1;1
PE_UP_04_023;UFOREP;1;1
PE_UP_04_024;UFOREP;1;1
PE_UP_04_025;UFOREP;1;1
PE_UP_04_026;UFOREP;1;1
PE_UP_04_027;UFOREP;1;1
PE_UP_04_028;UFOREP;1;1
PE_UP_04_029;UFOREP;1;1
PE_UP_04_030;UFOREP;1;1
PE_BA_04_534;ALDER;1;1
PE_UP_07_010;UFOREP;1;1
PE_UP_07_105;UFOREP;1;1
PE_UP_07_100;UFOREP;1;1
PE_UT_04_001;UFOREP;1;1
PE_UT_04_002;AFP;1;1
PE_UT_04_002;AFP_PRIVAT;1;1
PE_UT_04_002;ALDER;1;1
PE_UT_04_002;BARNEP;1;1
PE_UT_04_002;FAM_PL;1;1
PE_UT_04_002;GAM_YRK;1;1
PE_UT_04_002;GENRL;1;1
PE_UT_04_002;GJENLEV;1;1
PE_UT_04_002;GRBL;1;1
PE_UT_04_002;KRIGSP;1;1
PE_UT_04_002;OMSORG;1;1
PE_UT_04_002;UFOREP;1;1
PE_UT_04_003;UFOREP;1;1
PE_IY_03_167;AFP;1;1
PE_IY_03_167;AFP_PRIVAT;1;1
PE_IY_03_167;FAM_PL;1;1
PE_IY_03_167;GAM_YRK;1;1
PE_IY_03_167;GENRL;1;1
PE_IY_03_167;GRBL;1;1
PE_IY_03_167;KRIGSP;1;1
PE_IY_03_167;OMSORG;1;1
PE_IY_03_167;UFOREP;1;1
PE_UT_04_100;UFOREP;1;1
PE_UT_04_101;UFOREP;1;1
PE_UT_04_102;UFOREP;1;1
PE_UT_04_103;UFOREP;1;1
PE_UT_04_104;UFOREP;1;1
PE_UT_04_114;UFOREP;1;1
PE_UT_04_115;UFOREP;1;1
PE_UT_04_117;UFOREP;1;1
PE_UT_04_300;UFOREP;1;1
PE_UT_04_004;UFOREP;1;1
PE_UT_07_100;UFOREP;1;1
PE_UT_04_401;UFOREP;1;1
PE_UT_04_118;UFOREP;1;1
PE_UT_04_400;UFOREP;1;1
PE_UT_04_402;UFOREP;1;1
PE_UT_04_106;UFOREP;1;1
PE_UT_04_107;UFOREP;1;1
PE_UT_04_108;UFOREP;1;1
PE_UT_04_109;UFOREP;1;1
PE_UT_06_300;UFOREP;1;1
VARSEL_REVURD;ALDER;1;1
VARSEL_REVURD;AFP;1;1
VARSEL_REVURD;AFP_PRIVAT;1;1
VARSEL_REVURD;BARNEP;1;1
VARSEL_REVURD;FAM_PL;1;1
VARSEL_REVURD;GJENLEV;1;1
AP_AVSL_FT_MAN;ALDER;1;1
DSYS_G_REDIGERBAR;ALDER;1;0
DSYS_G_I_REDIGERBAR;ALDER;1;0
DSYS_G_REDIGERBAR;UFOREP;1;0
DSYS_G_I_REDIGERBAR;UFOREP;1;0
AP_AVSL_ENDR;ALDER;1;1
AP_AVSL_TIDLUTTAK;ALDER;1;1
AP_AVSL_UTTAK;ALDER;1;1
DOD_INFO_RETT_MAN;BARNEP;1;1
DOD_INFO_RETT_MAN;ALDER;1;1
DOD_INFO_RETT_MAN;GJENLEV;1;1
DOD_INFO_RETT_MAN;UFOREP;1;1
INFO_P1;ALDER;1;1
INFO_P1;UFOREP;1;1
INFO_P1;BARNEP;1;1
INFO_P1;GJENLEV;1;1
AP_INNV_MAN;ALDER;1;1
AP_OPPH_FT_MAN;ALDER;1;1
AP_AVSL_GJRETT_MAN;ALDER;1;1
AP_INNV_AVT_MAN;ALDER;1;1
AP_ENDR_GRAD_MAN;ALDER;1;1
AP_ENDR_STANS_MAN;ALDER;1;1
AP_ENDR_EPS_MAN;ALDER;1;1
BP_AVSL_MAN;BARNEP;1;1
BP_OPPH_MAN;BARNEP;1;1
AP_ENDR_FLYTT_MAN;ALDER;1;1
AP_ENDR_GJRETT_MAN;ALDER;1;1
AP_ENDR_OPPTJ_MAN;ALDER;1;1
AP_ENDR_FT_MAN;ALDER;1;1
OMSORG_EGEN_MAN;OMSORG;1;1
AP_STANS_FLYTT_MAN;ALDER;1;1
AP_INFO_STID_MAN;ALDER;1;1
AP_INFO_STID_MAN;AFP;1;1
AP_INFO_STID_MAN;AFP_PRIVAT;1;1
AP_INFO_STID_MAN;BARNEP;1;1
AP_INFO_STID_MAN;FAM_PL;1;1
AP_INFO_STID_MAN;GAM_YRK;1;1
AP_INFO_STID_MAN;GENRL;1;1
AP_INFO_STID_MAN;GJENLEV;1;1
AP_INFO_STID_MAN;GRBL;1;1
AP_INFO_STID_MAN;KRIGSP;1;1
AP_INFO_STID_MAN;OMSORG;1;1
AP_INFO_STID_MAN;UFOREP;1;1
AP_ENDR_INST_MAN;ALDER;1;1
HENT_INFO_MAN;AFP;1;1
HENT_INFO_MAN;AFP_PRIVAT;1;1
HENT_INFO_MAN;ALDER;1;1
HENT_INFO_MAN;BARNEP;1;1
HENT_INFO_MAN;FAM_PL;1;1
HENT_INFO_MAN;GAM_YRK;1;1
HENT_INFO_MAN;GENRL;1;1
HENT_INFO_MAN;GJENLEV;1;1
HENT_INFO_MAN;GRBL;1;1
HENT_INFO_MAN;KRIGSP;1;1
HENT_INFO_MAN;OMSORG;1;1
VARSEL_TILBAKEBET;ALDER;1;1
VARSEL_TILBAKEBET;AFP;1;1
VARSEL_TILBAKEBET;AFP_PRIVAT;1;1
VARSEL_TILBAKEBET;BARNEP;1;1
VARSEL_TILBAKEBET;FAM_PL;1;1
VARSEL_TILBAKEBET;GENRL;1;1
VARSEL_TILBAKEBET;GJENLEV;1;1
